ti	pi
0.00	10.000
0.02	10.050
0.04	10.100
0.06	10.150
0.08	10.200
0.10	10.250
0.12	10.300
0.14	10.350
0.16	10.400
0.18	10.450
0.20	10.500
0.22	10.550
0.24	10.599
0.26	10.649
0.28	10.699
0.30	10.749
0.32	10.798
0.34	10.848
0.36	10.898
0.38	10.947
0.40	10.997
0.42	11.046
0.44	11.096
0.46	11.145
0.48	11.195
0.50	11.244
0.52	11.293
0.54	11.342
0.56	11.391
0.58	11.440
0.60	11.489
0.62	11.538
0.64	11.587
0.66	11.636
0.68	11.685
0.70	11.733
0.72	11.782
0.74	11.830
0.76	11.878
0.78	11.927
0.80	11.975
0.82	12.023
0.84	12.071
0.86	12.119
0.88	12.166
0.90	12.214
0.92	12.262
0.94	12.309
0.96	12.356
0.98	12.404
1.00	12.451
