ti	pi
0	10.0000
0.02	10.0500
0.04	10.1000
0.06	10.1500
0.08	10.2000
0.10	10.2499
0.12	10.2999
0.14	10.3499
0.16	10.3998
0.18	10.4497
0.20	10.4996
0.22	10.5494
0.24	10.5993
0.26	10.6491
0.28	10.6989
0.30	10.7486
0.32	10.7983
0.34	10.8480
0.36	10.8976
0.38	10.9471
0.40	10.9967
0.42	11.0462
0.44	11.0956
0.46	11.1450
0.48	11.1943
0.50	11.2435
0.52	11.2927
0.54	11.3419
0.56	11.3909
0.58	11.4399
0.60	11.4888
0.62	11.5377
0.64	11.5865
0.66	11.6352
0.68	11.6838
0.70	11.7323
0.72	11.7808
0.74	11.8292
0.76	11.8775
0.78	11.9256
0.80	11.9737
0.82	12.0217
0.84	12.0697
0.86	12.1175
0.88	12.1652
0.90	12.2128
0.92	12.2603
0.94	12.3077
0.96	12.3549
0.98	12.4021
1.00	12.4492
